id,full_name,student_id,email,address,city,zipcode,phone,age,university,category
130,Aristotle Tanner,9C63CE13-19D2-2C80-AA62-D5763E23366B,dolor.Donec@laoreetliberoet.ca,"P.O. Box 503, 1887 Proin Ave",Parral,14693,1-298-354-5259,22,"University of California, Davis",Embedded Software
131,Howard Hull,CF81F12E-4E57-16DD-204F-C89B947200EB,parturient.montes@Curabiturvellectus.ca,4949 Quis Avenue,Calgary,42739,1-330-912-9454,18,San Jose State University,Artificial Intelligence
132,Abdul Blevins,16387321-3830-C3B2-28BF-1BCBB6EE2A30,est.Mauris.eu@morbitristique.com,458-4307 Odio Street,Khuzdar,21352,1-505-300-0559,23,"California State University, Fullerton",Artificial Intelligence
133,Kasper Hayden,0D4B964E-BCF3-A2B7-6633-B371A693343A,Vestibulum.ut.eros@facilisiSedneque.co.uk,6368 Nulla Avenue,Ethe,19482,860-3311,17,San Francisco State University,Web Development
134,John Bray,D872868B-486E-0CBB-0629-A3129A97E3BA,Pellentesque.habitant.morbi@a.co.uk,Ap #208-1627 Eget St.,Vinci,44180,1-355-495-0900,27,San Jose State University,Network Security
135,Gary Winters,7B22EE1C-40CE-5E60-6009-293FAEF43609,mauris.ipsum.porta@justo.co.uk,"883-759 Et, Road",Neufeld an der Leitha,27654,1-397-678-7965,19,Stanford,Machine Learning
136,Brady Perkins,C20EBF01-6388-7FB6-2C3F-036B873DB4A0,ac@enim.net,7898 Cum Road,Kimberly,88340,439-8105,19,Stanford,Web Development
137,Kane Adkins,FFE391EE-4071-D43D-5459-87BFBE610F32,ultrices.posuere.cubilia@iaculisaliquetdiam.co.uk,Ap #955-582 Mus. St.,Bruck an der Mur,92972,1-480-525-4706,28,"University of California, Riverside",Network Security
138,Adrian Hammond,72B16C30-8EC8-3E0A-5928-DB16C8706AFF,leo.Vivamus.nibh@semperpretiumneque.co.uk,8175 Massa. Street,Hospet,23278,597-3802,26,"University of California, Riverside",Embedded Software
139,Alfonso Day,CDE56B39-081B-9890-0746-7679E16DCB94,senectus.et@utlacus.ca,116-4687 Mollis. Ave,Wabamun,28111,333-0019,29,Stanford,Machine Learning
140,Kasper Clayton,F2007419-6058-C6AC-0FC6-A4454B30B513,nunc.risus@felis.co.uk,"P.O. Box 588, 6694 Sed Rd.",Deerlijk,72885,1-325-724-4615,27,"California State University, Bakersfield",Network Security
141,Ivor Pitts,CE7755B0-4FF3-6DB2-285F-11BA8C23052E,vel.convallis@odioapurus.ca,5907 Ac Road,Santo Stefano Quisquina,61475,738-7598,17,"University of California, Davis",Artificial Intelligence
142,Steel Knowles,E926CA9D-0EFE-6AB8-C6D7-6AE652FE1141,nisi.nibh@loremauctor.com,Ap #436-2649 Eros. St.,Patna,33119,737-4128,22,"University of California, Davis",Artificial Intelligence
143,Alan Massey,68602C63-6604-DC98-0F5C-30815E05CA22,suscipit@sed.edu,9481 Euismod Street,Lafayette,80136,844-8786,19,San Jose State University,Artificial Intelligence
144,Prescott Whitaker,5E339140-95A0-384B-DC11-CE7783AF33D8,arcu.Sed@consectetueradipiscing.com,"P.O. Box 245, 2298 Amet, St.",Barranquilla,94645,1-739-695-6390,25,Stanford,Machine Learning
145,Herman Irwin,590C628C-B534-1EAC-02C4-B38AFB721129,aliquet.odio@liberoat.ca,134-6330 Facilisis Rd.,Wyoming,48149,1-251-889-1881,23,"University of California, Davis",Network Security
146,Louis Lloyd,3BF9B038-3D63-18CD-CEEB-40EA7642D7D7,elit.fermentum.risus@Innecorci.ca,8607 Auctor Av.,Coalhurst,89435,481-0306,30,"University of California, Santa Cruz",Machine Learning
147,Fletcher Mercado,723CA04A-53BA-BE04-FF8A-14A4A2385D61,sagittis@Nunclaoreet.edu,Ap #997-2487 Sociis St.,Haveli,92962,785-5155,20,"University of California, Riverside",Entrepreneurship
148,Kasimir Reyes,07BEDA52-2105-ACE9-D602-4D0211FF07D4,libero@nuncnullavulputate.com,6862 Nunc St.,Anglet,97992,1-422-446-9479,26,Stanford,Embedded Software
149,Steel George,BFB9DD5B-F580-AADD-048F-FF6820B1E9B8,libero.dui.nec@nisisem.edu,"P.O. Box 886, 3050 Nullam Street",Strathcona County,43583,1-925-554-0816,23,Stanford,Artificial Intelligence
150,Oscar Bowen,59FE9D90-9B6F-74A7-CCC6-D0F4F17330C0,Proin.ultrices@Aliquamrutrum.ca,"P.O. Box 408, 6063 Non Ave",Potenza,75758,1-755-621-4276,21,"University of California, Davis",Network Security
151,Bradley Carpenter,83FFA98D-E9E5-1507-8FC9-43E0830776BF,enim@miacmattis.com,"P.O. Box 207, 6687 Aliquet. Ave",Lasne-Chapelle-Saint-Lambert,64871,1-527-745-7616,23,San Jose State University,Embedded Software
152,Jackson Gibbs,358DF868-1301-76EF-AFB9-AA3F4977AF7C,felis.adipiscing@erat.net,"Ap #566-1251 Ornare, Road",Durg,50214,806-6882,18,San Francisco State University,Machine Learning
153,Martin Hays,123104D1-9A83-0F4F-D3F7-D5E9A39329EB,pede.Praesent@massanon.co.uk,6356 Nec Rd.,Monte San Savino,89304,1-275-908-4090,17,"University of California, Davis",Network Security
154,Isaac Mccarty,E6E9B63F-56AB-621D-9F34-F62F74E4EE45,Nullam.vitae@acliberonec.co.uk,"P.O. Box 197, 255 Nibh Av.",Sovizzo,42572,175-6250,26,"University of California, Santa Cruz",Entrepreneurship
155,Gregory Montoya,92165B6D-38A9-E43C-590D-5C5A61BE8EA2,pharetra.felis.eget@non.org,462-7379 Cras Avenue,Aisemont,84641,170-6968,23,Stanford,Web Development
156,Dieter Velasquez,F1444674-561A-DAAE-E4B3-5C1AA0CDBA1F,vel@senectusetnetus.ca,Ap #975-7676 Mauris St.,San Lazzaro di Savena,25346,298-5170,25,San Jose State University,Web Development
157,Zachery Wise,0112B43F-F899-7C27-C0FB-D311643BDADE,dolor.dolor.tempus@iaculisnec.com,1525 Porttitor Av.,Albagiara,61836,103-0798,22,"California State University, Fullerton",Machine Learning
158,Michael Mckenzie,809AE481-FC3A-ADD5-5691-05E342C96347,penatibus.et.magnis@ultrices.net,6913 Sem Street,Elbistan,10768,1-584-959-4123,23,San Francisco State University,Artificial Intelligence
159,Timon Sawyer,7E189A4A-05D1-144E-8113-6723E878B3B3,velit.Pellentesque.ultricies@nonsapien.org,1220 Scelerisque Av.,Nethen,35319,1-760-163-9426,23,San Francisco State University,Web Development
160,Palmer Haney,62F73C74-9E96-0684-0F74-0A1C46E4393A,scelerisque.scelerisque.dui@sedhendrerita.net,"Ap #288-4315 Vitae, St.",Forgaria nel Friuli,12005,785-8355,19,"University of California, Riverside",Web Development
161,Isaac Powell,C8272F1C-862D-B892-6C37-0D777574FCE2,mi.felis@lobortis.ca,"P.O. Box 195, 831 Tincidunt Av.",Tumaco,89680,519-5691,23,"University of California, Davis",Network Security
162,Ezekiel Morrison,1B017745-427D-2DFC-F000-E76E2F7A2E44,venenatis.a.magna@Loremipsumdolor.ca,"P.O. Box 621, 3838 Non, Rd.",Ceuta,23533,1-453-689-8188,21,"California State University, Fullerton",Entrepreneurship
163,Damon Bryant,EBE51AD5-7DDA-E512-01D5-1C6DE7FBD1F7,aliquet.Phasellus@velit.com,"P.O. Box 985, 4009 Sapien. Ave",La Estrella,77356,1-392-713-7174,20,San Jose State University,Embedded Software
164,Rogan Woodward,527504B7-4F91-E21F-D6A1-9FC09958FFB0,Nulla.facilisi@Nunccommodo.edu,"P.O. Box 783, 9463 Donec Rd.",Hamme,13158,1-938-729-4922,23,"California State University, Fullerton",Entrepreneurship
165,Forrest Leonard,7EDA2056-C3CD-F586-A9B4-6AB56F915D2C,amet.ultricies@ac.edu,"P.O. Box 545, 2348 Phasellus Street",Godhra,58065,1-948-602-4708,30,"California State University, Fullerton",Entrepreneurship
166,Stone Brewer,104AEB00-CDE8-C148-7025-67ED5C4B9DB8,tellus@nonvestibulumnec.net,Ap #895-5934 Mauris. Av.,Lo Espejo,82447,891-2809,20,"California State University, Bakersfield",Artificial Intelligence
167,Elton Ratliff,963D8A21-4A60-34E5-0451-410D2328CA27,tristique.aliquet@Proin.ca,140-5613 Nullam Avenue,Leiden,58515,669-8284,28,"University of California, Riverside",Network Security
168,Ciaran Lawson,72AD7970-6C5D-DFEE-DBB4-FD1851D1AB24,ornare@laoreetlectus.ca,"P.O. Box 339, 5072 A, Ave",Lisieux,70237,1-711-263-3745,18,Stanford,Network Security
169,Colby Day,47C341B4-1AC3-0538-A5FD-59F71285DD19,Pellentesque.habitant.morbi@nisisem.edu,920-2737 Proin Ave,Emines,95764,810-8388,24,"California State University, Fullerton",Machine Learning
170,Colton Singleton,761409CF-66CA-BAAB-81CB-30E036A82590,et.arcu@sempertellus.com,952-9829 Neque. Road,Curaco de Vélez,69427,1-548-454-7585,27,"California State University, Bakersfield",Web Development
171,Travis Jacobson,F55747B4-81D8-ADBD-F6AD-B54E3DC099A0,cursus@imperdiet.co.uk,4295 Ac Road,Sant'Angelo in Pontano,88435,1-806-734-3400,21,San Francisco State University,Network Security
172,Lamar Newton,335176FB-F664-4D3E-2385-8C5280504AD2,Mauris.vel@magnaNam.co.uk,"P.O. Box 606, 9198 Euismod Rd.",Massa e Cozzile,85826,246-3576,25,Stanford,Machine Learning
173,Omar Gould,814C6DFF-18A9-F5B2-96E7-70BEC8892EC5,nunc@sodalesat.edu,"P.O. Box 675, 2050 Lectus Avenue",Soverzene,72729,1-802-710-6963,23,San Jose State University,Entrepreneurship
174,Steven Dalton,5FE7C04B-2FBC-29D2-A36F-6AEF186DB94B,mauris.a.nunc@non.com,8682 Integer St.,Olivola,31453,466-6480,23,"California State University, Bakersfield",Embedded Software
175,Bruno Cohen,BDF8F7A8-33A3-3CAC-60F8-6AF5AECFC265,vitae@odiovel.ca,3037 Morbi Rd.,Oostmalle,15249,1-245-916-5260,24,San Francisco State University,Artificial Intelligence
176,Stuart Morse,99AC2E23-B24F-AE1F-3723-0EB3BCED6A7F,Mauris@arcuCurabiturut.ca,Ap #929-8775 Tortor. Street,Chandler,53804,1-324-572-0724,26,"University of California, Davis",Embedded Software
177,Merritt Hutchinson,5414091C-FD1B-578D-1C7D-4484431C8D9F,non@nec.org,"P.O. Box 812, 346 Eros. Av.",Burin,12462,1-387-151-3815,27,"University of California, Davis",Artificial Intelligence
178,Fuller Snyder,93C76EF5-1F16-2907-6117-4A2FAC535B8A,lectus.pede@nislMaecenas.edu,"Ap #724-634 Lorem, Rd.",Périgueux,54558,627-3515,27,San Jose State University,Entrepreneurship
179,Porter Fitzpatrick,EDDDD970-1496-8C04-D63D-D61DCB873B85,nunc@Classaptenttaciti.org,Ap #459-4200 Sapien. Ave,Stony Plain,99187,1-284-918-9275,25,San Francisco State University,Entrepreneurship
180,Colton Charles,750D4E84-0DB2-D0E5-8090-87E23CEF6FC3,Quisque.porttitor.eros@malesuada.ca,"P.O. Box 310, 9254 Blandit St.",Vöcklabruck,53346,619-6441,28,"University of California, Davis",Network Security
181,Branden Beasley,A106D0F7-3449-1F4D-8D92-C1705BBCED52,sem@sit.net,"503-248 Eget, Avenue",Clovenfords,74740,596-9864,21,"University of California, Davis",Embedded Software
182,Hayden Glenn,BC91220C-074A-4C3E-CAEC-0E211D29D084,elementum.lorem.ut@Donecnibhenim.edu,471-2671 Sit Rd.,Casalbuono,47900,1-837-528-7999,28,San Jose State University,Embedded Software
183,Perry Winters,7E8E87B2-76D1-4846-7B52-01D98291755F,mollis.dui.in@lorem.ca,241-8109 Tempor Avenue,Zwijnaarde,68255,522-5143,28,"University of California, Davis",Artificial Intelligence
184,Isaiah Flynn,E2140D14-36CB-A911-E10B-9D60B04FE149,justo.eu.arcu@elitpellentesquea.co.uk,3767 Ligula St.,Bois-de-Villers,28799,1-356-211-5258,28,San Jose State University,Web Development
185,Driscoll Gentry,62D15AAB-8058-49A1-EC23-B08003F08E96,vel.arcu@purusaccumsaninterdum.co.uk,"P.O. Box 327, 9285 Orci St.",Crehen,35788,482-1882,30,"California State University, Bakersfield",Embedded Software
186,Merrill Drake,098C0F17-4DDA-BF04-189A-3FF51F2249D5,Vestibulum.ante@ridiculusmusAenean.net,729-2620 Dictum Road,Bellevue,44071,1-788-992-4416,27,"University of California, Riverside",Artificial Intelligence
187,Oscar Douglas,51A2AF43-01AA-B336-C67B-516EB7E169C4,molestie.tortor@congueturpisIn.co.uk,"7100 Elementum, Rd.",Moose Jaw,17457,1-437-263-4301,19,"California State University, Fullerton",Embedded Software
188,Hu Hull,E635F775-2C03-9AC0-DE50-FDC52F050C09,dui.Suspendisse@nonmagnaNam.com,195-8361 Cursus. Avenue,Cariboo Regional District,32794,683-9264,22,"California State University, Fullerton",Machine Learning
189,Dexter Harmon,B9F57685-3883-5542-7648-91C050577C80,pede@dolordolortempus.ca,6842 Phasellus Av.,Radicofani,11559,310-4382,24,San Francisco State University,Web Development
190,Victor Harrington,27FAEE98-433C-DD15-8521-1728B5963AED,Maecenas.iaculis.aliquet@porttitorscelerisque.ca,2862 Penatibus Road,Amberloup,35631,1-309-867-8162,29,"University of California, Riverside",Network Security
191,Harlan Moore,8C40679A-9067-3F25-F792-DD8F01D848BA,interdum.enim@in.net,Ap #519-6544 Risus. Street,Mosocw,70476,1-482-268-3984,27,Stanford,Entrepreneurship
192,Neil Clayton,ECE4F7F0-44F1-7D90-19F2-7CADFC3950D2,placerat@eleifendegestasSed.co.uk,734-3349 Consectetuer Rd.,Campitello di Fassa,31363,665-9055,22,"University of California, Santa Cruz",Entrepreneurship
193,Lane Middleton,BCA01B17-C74D-CD1B-E266-1033BE2543B6,Mauris.ut@sem.edu,"P.O. Box 678, 1654 Gravida Avenue",Quinte West,86604,649-0171,19,"University of California, Riverside",Web Development
194,Cameron Whitfield,97C483E9-9E85-CBD8-3ED9-63D294D1D4BD,commodo.hendrerit.Donec@amet.co.uk,Ap #584-1326 Quisque Street,Santa Croce sull'Arno,81043,1-913-606-0253,26,San Francisco State University,Artificial Intelligence
195,Kennan Stevenson,7924E5D1-59E9-C1B6-1ABA-3D180BF1A041,gravida@lacus.net,"P.O. Box 800, 2905 Metus Av.",Vallentuna,57573,1-160-713-3556,17,"University of California, Davis",Web Development
196,Phillip Walter,3470D7F4-6509-9F0F-CF56-1407BEEACC93,eu.turpis@metus.org,Ap #487-6645 Aliquam Rd.,Carapicuíba,35534,445-2486,19,Stanford,Artificial Intelligence
197,Igor Anderson,81D579E2-57E7-D9FF-17E5-C70F1BD45238,Nulla.tincidunt.neque@velitCras.ca,Ap #502-7433 Erat Road,Paularo,15278,315-2288,26,Stanford,Machine Learning
198,Palmer Gordon,9363CF8C-BD62-D4C6-4152-D8493016E44E,elit.pede@tellus.net,536-6181 In Street,Chicoutimi,34309,637-7395,19,San Jose State University,Entrepreneurship
199,Ray Hinton,3ADB4DED-8006-5A14-36AB-9235D47B9B54,Etiam@non.edu,553-9444 Eu Rd.,Ranchi,58992,480-2626,28,"California State University, Fullerton",Artificial Intelligence
200,Reece Leblanc,4D8671CD-FC96-E2D6-B1B4-3EE7B160B22D,ultrices.a.auctor@semconsequatnec.edu,357-3208 Accumsan St.,Canmore,19133,694-5547,17,"California State University, Bakersfield",Web Development
201,Keane Cardenas,882A3098-C4E5-4197-CEC6-A5F9298ACE16,Mauris.eu.turpis@nibh.edu,Ap #712-5662 Magna Street,Avignon,52492,205-9545,17,San Jose State University,Web Development
202,Malachi Tanner,5903B908-C962-2CDB-B10B-4D35425D3811,magnis.dis.parturient@atpedeCras.net,4708 Donec Av.,Calbuco,80359,738-0757,30,"California State University, Bakersfield",Entrepreneurship
203,Ivan Tucker,DFBFD6A4-4027-6EC1-0663-779732EE60B1,tellus.imperdiet@Proinvelnisl.edu,"P.O. Box 976, 1992 Et Ave",Velden am Wörther See,19585,1-828-218-1363,30,San Jose State University,Network Security
204,Asher Kane,63A52F4C-1BD6-6F16-3C83-4EB5482CD2DA,mattis.ornare@vehicula.org,Ap #174-9826 Massa Av.,Charsadda,78692,1-451-174-2787,29,"California State University, Fullerton",Network Security
205,Kadeem Workman,9E84B809-D73B-C6D7-5D46-2A9135B045A7,Suspendisse.aliquet.molestie@infaucibus.co.uk,"P.O. Box 794, 3103 Venenatis Avenue",Belém,22491,1-599-764-0237,24,"University of California, Santa Cruz",Embedded Software
206,Amos Middleton,AAA8C66C-1B68-A4A6-7638-8A54F70CD672,risus.odio.auctor@dui.edu,"P.O. Box 391, 7877 Aenean Av.",Independencia,10174,1-279-998-8048,23,"University of California, Riverside",Web Development
207,August Winters,6D08D34A-A43E-02F2-94A1-56B42FEAF2E4,mi.enim@ultriciesadipiscingenim.ca,523-455 Metus Road,Boston,95714,1-880-821-1253,27,"University of California, Santa Cruz",Machine Learning
208,Beck Melendez,00551756-3999-8DD4-A1E4-D68EE038C64B,Sed@gravidasagittisDuis.com,985-3347 Varius Street,Auldearn,58441,1-510-862-3412,18,"University of California, Davis",Entrepreneurship
209,Sawyer Vinson,CF72E2B9-D11A-E6CF-632C-5902D55A2FDB,dui@odio.co.uk,7931 Ut Ave,El Bosque,16974,1-488-925-7214,17,San Jose State University,Embedded Software
210,Xanthus Rasmussen,B4D45020-8277-A5EF-C49E-BE6A714CD467,arcu.Aliquam@tristiquealiquet.edu,Ap #116-3002 Arcu. St.,Rulles,17258,1-924-568-0165,17,San Jose State University,Network Security
211,Ivor Henson,7322121A-2D49-FD78-60B9-7DE06D80A7C1,Nulla@nonbibendum.co.uk,Ap #895-4639 Lectus St.,Montrose,24057,1-526-929-6421,17,"University of California, Riverside",Artificial Intelligence
212,Chadwick Johnson,F4D42D14-E7F9-73D4-4F57-7CCA0CC781D8,faucibus@Nuncsedorci.ca,318 Lorem. Ave,Allentown,21345,1-941-252-3478,29,Stanford,Web Development
213,Nicholas Rice,90A8DF1C-137D-1CD2-FDB7-9411FC62E98E,ornare@odio.co.uk,Ap #116-1479 Nunc Street,Liberia,14482,1-369-156-3589,25,"University of California, Santa Cruz",Web Development
214,Gannon Nelson,43888ADC-0D7D-66CA-A9D1-4F4E971F22D0,vehicula.Pellentesque.tincidunt@faucibusut.co.uk,416-4731 Suspendisse Rd.,Ancona,12876,850-5976,19,"California State University, Bakersfield",Network Security
215,Justin Padilla,9996BBCB-AC7C-9A9E-21F6-30E9A61CEA9E,sed@Sedauctor.co.uk,425-632 Elit. Ave,Borghetto di Vara,36384,1-422-941-1312,25,Stanford,Web Development
216,Wallace Marsh,C2D60B8C-39F7-8859-F984-CA4E2EC81F66,magnis.dis@anteVivamus.org,775-7788 Erat Street,Kruibeke,62085,893-4123,24,"University of California, Riverside",Machine Learning
217,Emmanuel Ochoa,5CBB28D6-5906-B8C5-A12F-9A771D10C772,cursus.non@ornare.com,562-6130 Aliquam St.,Virelles,34130,583-6799,27,San Francisco State University,Embedded Software
218,Basil Stafford,B2056327-18CB-78E2-12E4-90078A43CC79,Donec@tellus.net,Ap #145-7816 Vel Rd.,Bostaniçi,27781,153-0660,21,"University of California, Santa Cruz",Artificial Intelligence
219,Geoffrey Odonnell,B06C39BE-0A9D-649F-62F8-CF31ECC29EA0,Proin.dolor.Nulla@iaculisquis.edu,8149 Etiam Rd.,Panketal,76727,760-8164,18,"University of California, Santa Cruz",Artificial Intelligence
220,Griffin Spence,288D2CB2-57FB-57C1-2BB9-17ABD1461147,arcu.Vestibulum@mollisduiin.ca,"6821 Quis, Avenue",Patarrá,37038,422-5753,28,Stanford,Web Development
221,Carl Huffman,A97A6484-0955-F267-0182-BDE292E70165,aliquam@quis.net,"P.O. Box 427, 954 Mollis Street",Moose Jaw,74319,231-2950,28,"University of California, Davis",Entrepreneurship
222,Drake Craft,81D601CF-FBC0-E149-03BB-A0A8B22A0DE8,dui@euodio.org,"Ap #840-5407 Ut, Avenue",Biloxi,22430,1-385-173-1925,17,San Jose State University,Entrepreneurship
223,Anthony Wiggins,F2543BAC-136F-49F1-F296-336DADA70B28,eu.odio.tristique@penatibus.net,168-2916 Et Av.,Chiauci,91475,884-1472,26,San Francisco State University,Web Development
224,Odysseus Roth,B46BF96D-300E-CB03-CC96-ADE2EB0DBA26,Quisque.varius@Nullam.edu,"P.O. Box 842, 1372 A, Ave",Voronezh,75436,1-390-672-5550,25,"University of California, Santa Cruz",Artificial Intelligence
225,Palmer Mejia,D845F781-6316-35EA-E3C0-216EFE80BF49,nec@et.co.uk,8159 Mi. Road,Musson,70684,345-2541,18,"University of California, Davis",Embedded Software
226,Cadman Johns,1BF97ED2-7080-4150-B9AD-21B65533B22A,scelerisque.scelerisque@NullafacilisiSed.edu,318-9601 Tortor. Road,Cercemaggiore,79711,933-3706,23,"California State University, Fullerton",Artificial Intelligence
227,Beau Duran,EE284B90-B57B-9F95-A2F3-73ABF737D8DE,eget.laoreet@interdumenimnon.net,3038 Nunc Rd.,Montpellier,44007,1-802-238-9017,23,Stanford,Artificial Intelligence
228,Brody Walls,45AA3788-D83C-F00F-6EB3-3E989600C0A0,amet@ullamcorper.com,Ap #299-2186 Enim. Street,Thirimont,16135,259-2348,30,"University of California, Riverside",Network Security
229,Michael Paul,1417CF27-4B10-5492-6FBF-A2FA151EAB20,mollis.nec@elitdictumeu.net,268-3191 Suspendisse St.,Chandler,89251,1-114-720-6750,23,"California State University, Fullerton",Web Development
230,Axel Dennis,0D2ADAAE-4053-309A-F1A6-06FF308958C4,mattis.Cras.eget@gravidanuncsed.org,"P.O. Box 620, 5124 Id St.",Midway,61754,1-807-715-7276,18,"California State University, Bakersfield",Artificial Intelligence
231,Guy Campbell,EE79963A-9EFB-BD3A-D579-41B538E1E9D3,vestibulum.Mauris@odiosagittissemper.org,"P.O. Box 140, 3283 Tristique St.",Clydebank,94540,1-885-821-2306,20,"California State University, Fullerton",Network Security
232,Burke Mcgowan,698FFA37-95BB-12CF-CC1A-5AD0F85EA6FE,sagittis@in.org,407-869 Ligula. St.,Alexeyevka,81852,588-4152,24,"California State University, Fullerton",Artificial Intelligence
233,Marsden Small,BB93D9C6-F3B5-595F-17B8-7716376885D2,dolor@Phaselluselitpede.edu,Ap #130-3805 Laoreet Av.,Auvelais,43751,1-623-157-7080,29,"California State University, Bakersfield",Embedded Software
234,Gabriel Goodwin,58431DE9-EEFA-C9D4-E33E-5E6A47649198,non@sollicitudinadipiscingligula.ca,Ap #982-3742 At Avenue,Ghizer,84641,1-458-652-1887,28,"California State University, Fullerton",Machine Learning
235,Keith Oneil,06917733-5538-8804-76CA-1F01440AFCF3,et@egetodioAliquam.co.uk,"Ap #772-6919 Non, Rd.",Avelgem,35925,1-602-811-6102,23,"University of California, Riverside",Artificial Intelligence
236,Ryder Franklin,0A617322-DBF2-5067-9403-482B268F1889,vulputate.nisi@euodioPhasellus.net,"P.O. Box 542, 1382 Erat Avenue",Rockhampton,30255,1-126-412-9511,26,"University of California, Riverside",Entrepreneurship
237,Drake Allen,6411FC8F-CC75-6489-BB4A-727869858F13,libero.mauris.aliquam@Fuscealiquam.edu,1680 Diam St.,Carapicuíba,59872,1-860-999-0734,28,San Jose State University,Artificial Intelligence
238,Ivor Porter,D86D66C2-4D7D-FC1E-E86E-8097B91EE771,quam.a@sedconsequatauctor.ca,149-1559 Malesuada St.,Badajoz,71588,1-891-194-8181,29,"California State University, Fullerton",Embedded Software
239,Abel Walker,395832F1-2649-7FE3-8C09-5F43E126F1D3,Proin.vel.arcu@Pellentesqueutipsum.co.uk,Ap #625-5794 Lorem St.,Reno,18213,707-7835,19,"University of California, Santa Cruz",Entrepreneurship
240,Bernard Atkins,3C793F3F-D195-8355-E3F0-FAA501959847,Curabitur@at.net,7233 Blandit St.,Stade,93821,190-3974,21,"California State University, Fullerton",Machine Learning
241,Lawrence Workman,4497F565-C229-0D01-6689-9BF4B9E5BF43,Donec@temporest.com,3155 Sagittis Avenue,Borsbeek,60002,626-2427,24,San Jose State University,Network Security
242,Vaughan England,CFCE8661-C206-E317-29A8-ECA512849F4E,libero.dui.nec@idenimCurabitur.co.uk,"P.O. Box 954, 388 Ac, Rd.",Ramagundam,47306,748-9034,23,Stanford,Entrepreneurship
243,Dominic Washington,8330B47B-9CA2-1E4F-DAF4-D3FBFE971DDE,mattis.Cras@egestashendreritneque.com,Ap #883-4888 Etiam Road,Freital,75428,481-6489,30,San Jose State University,Entrepreneurship
244,Byron Adkins,9AA57F25-0D98-C47E-A7D6-BB45F882334E,Maecenas.malesuada@anteiaculisnec.ca,664 Velit Rd.,Wels,23022,1-137-422-7434,21,"California State University, Fullerton",Embedded Software
245,Colorado Rojas,052310D5-D888-8E35-0DB3-CED6063CA7A3,Sed.et.libero@aauctornon.ca,Ap #798-9723 Orci St.,Avernas-le-Bauduin,96880,1-702-210-0855,29,"California State University, Bakersfield",Web Development
246,Dylan Cline,AE1CE707-9E08-579C-3336-F8BD4239C1F1,justo.nec@vulputate.net,Ap #769-7791 Quisque St.,Genzano di Lucania,41303,1-963-741-2565,24,"University of California, Davis",Web Development
247,Calvin Montoya,4B2ED6EC-4519-9A1D-4C0B-369D4095BE23,fermentum.convallis@Quisqueporttitoreros.com,5078 Libero Rd.,Killa Saifullah,97762,1-289-326-9921,29,San Francisco State University,Web Development
248,Hiram Kirby,384C0350-683D-C48F-E6B3-1CE0F541AEA1,non@Cras.org,1127 Suspendisse Street,Tiel,25609,621-5936,19,"University of California, Riverside",Artificial Intelligence
249,Matthew Lopez,9E7BA454-71DE-8113-17EF-5E6059729E62,nonummy@quisdiam.org,549-4356 Dignissim. Road,Rocky Mountain House,43942,858-7698,29,"University of California, Davis",Artificial Intelligence
250,Barclay Velasquez,1498CFC8-4DE6-14B9-5A90-6E21BAF103F0,semper.et@consequat.edu,6196 Feugiat Road,Pero,42956,295-6816,23,"California State University, Bakersfield",Web Development
251,Holmes Head,7B5E60CD-8DD5-1971-5B29-C2315BDF9063,consequat.lectus.sit@ridiculusmusAenean.net,Ap #175-7039 Egestas. Av.,Acquafondata,78377,520-7603,23,San Francisco State University,Embedded Software
252,Bernard Cardenas,49D8D344-33E3-3A13-276D-798CE05F7A54,felis.adipiscing@cursusluctus.org,"P.O. Box 381, 998 Ridiculus Street",Bierk Bierghes,21628,196-1330,30,San Francisco State University,Machine Learning
253,Dillon Howard,13F6789E-3F3E-C28A-C202-6AD363580C2D,ridiculus.mus.Aenean@diamProindolor.org,1911 Vestibulum Avenue,Kotlas,86170,1-850-764-8303,20,Stanford,Entrepreneurship
254,Orson Shepherd,19733DEB-8BD6-DEBE-0A0C-78D88D614153,Donec.nibh.enim@utmolestie.co.uk,Ap #295-9443 Lacinia Avenue,Pukekohe,34270,680-3037,29,Stanford,Embedded Software
255,Bruce Ryan,35A2C7F4-9056-CE7B-3989-F18218B9893C,ac@non.com,"P.O. Box 116, 9158 Dolor Ave",Kiel,85504,1-641-564-8370,17,San Francisco State University,Artificial Intelligence
256,Hunter Joseph,47BE05B0-33E7-7E37-763F-30CC5B2049AC,vel@neccursusa.edu,1287 Ligula St.,Arequipa,33740,1-341-219-5916,19,"California State University, Fullerton",Web Development
257,Hamilton Cole,4CED72BB-3294-F60C-A553-22A57B9CAF98,ut.molestie@Vivamussitamet.net,"867-7733 Non, Rd.",Retiro,14478,431-9581,22,San Francisco State University,Network Security
258,Kibo Vargas,52C4AF91-269B-A414-FE16-5ECD19D29F47,amet.consectetuer@Sednecmetus.net,382-5243 Commodo Street,Karabash,19321,1-322-826-8889,21,San Jose State University,Web Development
259,Thane Spencer,B9840E67-FACE-54FA-7A8A-0D8871E4AA2C,dolor.egestas.rhoncus@Proinvel.ca,Ap #523-8930 Metus. Ave,Alassio,11408,1-796-860-9378,21,Stanford,Artificial Intelligence
260,Elijah Kirby,0D983BB7-900C-8DFA-1232-A25B6A05D18D,in.tempus@risus.ca,"4283 Et, Rd.",Aulnay-sous-Bois,88026,146-7874,19,San Jose State University,Embedded Software
